trade_date,name,value
20230526,军工,7.403599999999999
20230529,军工,6.944599999999999
20230530,军工,7.4658
20230531,军工,7.621499999999999
20230601,军工,8.091899999999999
20230602,军工,8.369499999999999
20230605,军工,8.4424
20230606,军工,5.8824999999999985
20230607,军工,6.192799999999998
20230608,军工,5.432599999999999
20230609,军工,6.471799999999998
20230612,军工,7.269799999999998
20230613,军工,7.9251999999999985
20230614,军工,8.146099999999999
20230615,军工,8.874199999999998
20230616,军工,10.274399999999998
20230619,军工,11.194899999999999
20230620,军工,12.077399999999999
20230621,军工,10.8448
20230626,军工,8.8711
20230627,军工,10.6873
20230628,军工,10.3876
20230629,军工,11.832300000000002
20230630,军工,13.0829
20230703,军工,13.1974
20230704,军工,14.024299999999998
20230705,军工,13.2511
20230706,军工,13.3242
20230707,军工,12.054599999999999
20230710,军工,11.705099999999998
20230711,军工,13.001399999999999
20230712,军工,11.394899999999998
20230713,军工,12.115299999999998
20230714,军工,12.362499999999997
20230717,军工,12.245199999999997
20230718,军工,12.215699999999996
20230719,军工,11.307399999999996
20230720,军工,9.535999999999996
20230721,军工,8.506999999999996
20230724,军工,8.626499999999997
20230725,军工,10.193799999999996
20230726,军工,8.948999999999996
20230727,军工,8.743499999999996
20230728,军工,9.019099999999996
20230731,军工,9.718399999999997
20230801,军工,9.488399999999997
20230802,军工,9.437699999999996
20230803,军工,8.793699999999996
20230804,军工,9.368199999999996
20230807,军工,9.127799999999997
20230808,军工,8.526799999999996
20230809,军工,7.666799999999997
20230810,军工,7.734599999999997
20230811,军工,6.113299999999997
20230814,军工,6.728599999999997
20230815,军工,5.723899999999997
20230816,军工,4.243699999999997
20230817,军工,6.8859999999999975
20230818,军工,5.588299999999997
20230821,军工,4.552799999999996
20230822,军工,5.628899999999996
20230823,军工,3.433299999999995
20230824,军工,3.055999999999995
20230825,军工,0.5383999999999953
20230828,军工,1.0614999999999957
20230829,军工,5.254499999999995
20230830,军工,6.671499999999995
20230831,军工,6.022099999999995
20230901,军工,5.882499999999995
20230904,军工,7.374199999999995
20230103,华为概念,0.0
20230104,华为概念,0.6442000000000001
20230105,华为概念,1.3727000000000005
20230106,华为概念,1.1691000000000007
20230109,华为概念,1.7171000000000007
20230110,华为概念,1.8815000000000004
20230111,华为概念,0.6794000000000007
20230112,华为概念,1.1315000000000004
20230113,华为概念,0.8451000000000009
